Reference_Number,Reference_Text,Citation_Count,Context_1,Context_2,Context_3,All_Match_Texts,Pattern_Types,Paragraph_Locations
76,"Marcus MP, Marcinkiewicz MA, Santorini B (1 99 3) Building a large annotated corpus of english: the",3,"7 3,0 00 tokens for validation, and 8 2,0 00 tokens for testing purposes. Its context is limited since it comprises sentences rather than paragraphs [ 7 6 ]. d) The Ministry of Electronics and Information Technology ’ s Technology Development Programme for Indian Languages (TDIL) launched its own da...","7 3,0 00 tokens for validation, and 8 2,0 00 tokens for testing purposes. Its context is limited since it comprises sentences rather than paragraphs [ 7 6 ]. d) The Ministry of Electronics and Information Technology ’ s Technology Development Programme for Indian Languages (TDIL) launched its own da...","nnotation technique for each of them. The folder “ Song Lyrics ” in the corpus contains 3 39 Telugu song lyrics written in Telugu script [ 1 21 ]. 2. Language Modelling: Language models analyse text data to calculate word probability. They use an algorithm to interpret the data, which establishes ru...","[ 7 6 ] | [ 7 6 ] | Language Modelling: Language models analyse text data to calculate word probability.
They use an algorithm to interpret the data, which establishes rules for context in natural
language. The model then uses these rules to accurately predict or construct new
sentences. The model basically learns the basic characteristics and features of language
and then applies them to new phrases. Majorly used datasets for Language modeling are
as follows:
a)
Salesforce ’ s Wiki Text-1 03 dataset has 1 03 million tokens collected from 2 8,4 75 featured
articles from Wikipedia.
b)
Wiki Text-2 is a scaled-down version of Wiki Text-1 03. It contains 2 million tokens with a
3 3,2 78 jargon size.
c)
Penn Treebank piece of the Wall Street Diary corpus includes 9 29,0 00 tokens for training,
7 3,0 00 tokens for validation, and 8 2,0 00 tokens for testing purposes. Its context is limited
since it comprises sentences rather than paragraphs [ 7 6 ]",Format_7 6_Pattern_1 | Format_7 6_Pattern_2 | Format_7 6_Pattern_6,"53, 53, 53"
77,"Mc Callum A, Nigam K (1 99 8) A comparison of event models for naive bayes text classification. In AAAI-",8,"ts performance despite its simplicity (Lewis, 1 99 8) [ 6 7 ] In Text Categorization two types of models have been used (Mc Callum and Nigam, 1 99 8) [ 7 7 ]. Both modules assume that a fixed vocabulary is present. But in first model a document is generated by first choosing a subset of vocabulary a...","ts performance despite its simplicity (Lewis, 1 99 8) [ 6 7 ] In Text Categorization two types of models have been used (Mc Callum and Nigam, 1 99 8) [ 7 7 ]. Both modules assume that a fixed vocabulary is present. But in first model a document is generated by first choosing a subset of vocabulary a...","ayes is preferred because of its performance despite its simplicity (Lewis, 1 99 8) [ 6 7 ] In Text Categorization two types of models have been used (Mc Callum and Nigam, 1 99 8) [ 7 7 ]. Both modules assume that a fixed vocabulary is present. But in first model a document is generated by first cho...","[ 7 7 ] | [ 7 7 ] | (Mc Callum and Nigam, 1 99 8) [ 7 7 ] | In
Text Categorization two types of models have been used (Mc Callum and Nigam, 1 99 8) [ 7 7 ] | [ 7 7 ] | [ 7 7 ] | (Mc Callum and Nigam, 1 99 8)
[ 7 7 ] | In the case of a
domain specific search engine, the automatic identification of important information can
increase accuracy and efficiency of a directed search. There is use of hidden Markov models
(HMMs) to extract the relevant fields of research papers. These extracted text segments are
used to allow searched over specific fields and to provide effective presentation of search
results and to match references to papers. For example, noticing the pop-up ads on any
websites showing the recent items you might have looked on an online store with discounts.
In Information Retrieval two types of models have been used (Mc Callum and Nigam, 1 99 8)
[ 7 7 ]",Format_7 7_Pattern_1 | Format_7 7_Pattern_2 | Format_7 7_Pattern_5 | Format_7 7_Pattern_6 | Format_7 7_Pattern_1 | Format_7 7_Pattern_2 | Format_7 7_Pattern_5 | Format_7 7_Pattern_6,"38, 38, 38, 38, 40, 40, 40, 40"
78,Mc Cray AT (1 99 1) Natural language processing for intelligent information retrieval. In Engineering in,0,NOT CITED,,,,,
79,Mc Cray AT (1 99 1) Extending a natural language parser with UMLS knowledge. In proceedings of the,0,NOT CITED,,,,,
80,"Mc Cray AT, Nelson SJ (1 99 5) The representation of meaning in the UMLS. Methods Inf Med 3 4(1 – 2):",0,NOT CITED,,,,,
81,"Mc Cray AT, Razi A (1 99 4) The UMLS knowledge source server. Medinfo Med Info 8:1 44 – 1 47",1,"aries. The Centre d ’ Informatique Hospitaliere of the Hopital Cantonal de Geneve is working on an electronic archiving environment with NLP features [ 8 1 , 1 19 ]. In the first phase, patient records were archived. At later stage the LSP-MLP has been adapted for French [ 1 0 , 7 2 , 9 4 , 1 13 ], ...",,,"[ 8 1 , 1 19 ]",Format_8 1_Pattern_2,44
82,"Mc Cray AT, Srinivasan S, Browne AC (1 99 4) Lexical methods for managing variation in biomedical",0,NOT CITED,,,,,
83,"Mc Donald R, Crammer K, Pereira F (2 00 5) Flexible text segmentation with structured multilabel",1,"g is often evaluated using the Co NLL 2 00 0 shared task. Various researchers (Sha and Pereira, 2 00 3; Mc Donald et al., 2 00 5; Sun et al., 2 00 8) [ 8 3 , 1 22 , 1 30 ] used Co NLL test data for chunking and used features composed of words, POS tags, and tags. There are particular words in the do...",,,"[ 8 3 ,
1 22 , 1 30 ]",Format_8 3_Pattern_2,33
84,"Mc Gray AT, Sponsler JL, Brylawski B, Browne AC (1 98 7) The role of lexical knowledge in biomedical",0,NOT CITED,,,,,
85,"Mc Keown KR (1 98 5) Text generation. Cambridge University Press, Cambridge",4,"r with phonological assumptions on which it is based and the evidence from which they have drawn their proposals. At the same time, Mc Keown (1 98 5) [ 8 5 ] demonstrated that rhetorical schemas could be used for producing both linguistically coherent and communica- tively effective text. Some resea...","r with phonological assumptions on which it is based and the evidence from which they have drawn their proposals. At the same time, Mc Keown (1 98 5) [ 8 5 ] demonstrated that rhetorical schemas could be used for producing both linguistically coherent and communica- tively effective text. Some resea...",", together with phonological assumptions on which it is based and the evidence from which they have drawn their proposals. At the same time, Mc Keown (1 98 5) [ 8 5 ] demonstrated that rhetorical schemas could be used for producing both linguistically coherent and communica- tively effective text. S...","[ 8 5 ] | [ 8 5 ] | (1 98 5) [ 8 5 ] | At the same time, Mc Keown (1 98 5) [ 8 5 ]",Format_8 5_Pattern_1 | Format_8 5_Pattern_2 | Format_8 5_Pattern_5 | Format_8 5_Pattern_6,"28, 28, 28, 28"
86,"Merity S, Keskar NS, Socher R (2 01 8) An analysis of neural language modeling at multiple scales. ar Xiv",3,oaches for dealing with relational reasoning on compartmentalized information. The results achieved with RMC show improved performance. Merity et al. [ 8 6 ] extended conventional word-level language models based on Quasi- Recurrent Neural Network and LSTM to handle the granularity at character and ...,oaches for dealing with relational reasoning on compartmentalized information. The results achieved with RMC show improved performance. Merity et al. [ 8 6 ] extended conventional word-level language models based on Quasi- Recurrent Neural Network and LSTM to handle the granularity at character and ...,"h the capacity to learn on classifying the information and perform complex reasoning based on the interactions between compartmentalized information. They used the relational memory core to handle such interactions. Finally, the model was tested for language modeling on three different datasets (Gig...","[ 8 6 ] | [ 8 6 ] | They used the relational memory core to handle
such interactions. Finally, the model was tested for language modeling on three different
datasets (Giga Word, Project Gutenberg, and Wiki Text-1 03). Further, they mapped the perfor-
mance of their model to traditional approaches for dealing with relational reasoning on
compartmentalized information. The results achieved with RMC show improved performance.
Merity et al. [ 8 6 ]",Format_8 6_Pattern_1 | Format_8 6_Pattern_2 | Format_8 6_Pattern_6,"55, 55, 55"
87,"Mikolov T, Chen K, Corrado G., & Dean, J. (2 01 3). Distributed representations of words and phrases and",3,"eld of NLP, where two convolutional models with max pooling were used to perform parts-of-speech and named entity recognition tagging. Mikolov et.al. [ 8 7 ] proposed a word embedding process where the dense vector representation of text was addressed. They also report the challenges faced by tradit...","eld of NLP, where two convolutional models with max pooling were used to perform parts-of-speech and named entity recognition tagging. Mikolov et.al. [ 8 7 ] proposed a word embedding process where the dense vector representation of text was addressed. They also report the challenges faced by tradit...","okup table which represents the n previous words in sequence. Collobert et al. [ 2 9 ] proposed the application of multitask learning in the field of NLP, where two convolutional models with max pooling were used to perform parts-of-speech and named entity recognition tagging. Mikolov et.al. [ 8 7 ]...","[ 8 7 ] | [ 8 7 ] | NLP, where
two convolutional models with max pooling were used to perform parts-of-speech and named
entity recognition tagging. Mikolov et.al. [ 8 7 ]",Format_8 7_Pattern_1 | Format_8 7_Pattern_2 | Format_8 7_Pattern_6,"29, 29, 29"
88,"Morel-Guillemaz AM, Baud RH, Scherrer JR (1 99 0) Proximity processing of medical text. In medical",3,", 9 4 , 1 13 ], and finally, a proper NLP system called RECIT [ 9 , 1 1 , 1 7 , 1 06 ] has been developed using a method called Proximity Processing [ 8 8 ]. It ’ s task was to implement a robust and multilingual system able to analyze/comprehend medical sentences, and to preserve a knowledge of fre...",", 9 4 , 1 13 ], and finally, a proper NLP system called RECIT [ 9 , 1 1 , 1 7 , 1 06 ] has been developed using a method called Proximity Processing [ 8 8 ]. It ’ s task was to implement a robust and multilingual system able to analyze/comprehend medical sentences, and to preserve a knowledge of fre...","or French [ 1 0 , 7 2 , 9 4 , 1 13 ], and finally, a proper NLP system called RECIT [ 9 , 1 1 , 1 7 , 1 06 ] has been developed using a method called Proximity Processing [ 8 8 ]. It ’ s task was to implement a robust and multilingual system able to analyze/comprehend medical sentences, and to prese...","[ 8 8 ] | [ 8 8 ] | Proximity Processing
[ 8 8 ]",Format_8 8_Pattern_1 | Format_8 8_Pattern_2 | Format_8 8_Pattern_6,"44, 44, 44"
89,Morin E (1 99 9) Automatic acquisition of semantic relations between terms from technical corpora. In proc.,4,"terms is still a difficulty. PROMETHEE is a system that extracts lexico-syntactic patterns relative to a specific conceptual relation (Morin,1 99 9) [ 8 9 ]. IE systems should work at many levels, from word recognition to discourse analysis at the level of the complete document. An application of th...","terms is still a difficulty. PROMETHEE is a system that extracts lexico-syntactic patterns relative to a specific conceptual relation (Morin,1 99 9) [ 8 9 ]. IE systems should work at many levels, from word recognition to discourse analysis at the level of the complete document. An application of th...","ons between the terms is still a difficulty. PROMETHEE is a system that extracts lexico-syntactic patterns relative to a specific conceptual relation (Morin,1 99 9) [ 8 9 ]. IE systems should work at many levels, from word recognition to discourse analysis at the level of the complete document. An a...","[ 8 9 ] | [ 8 9 ] | (Morin,1 99 9) [ 8 9 ] | It has been suggested that many IE systems can
successfully extract terms from documents, acquiring relations between the terms is still a
difficulty. PROMETHEE is a system that extracts lexico-syntactic patterns relative to a
specific conceptual relation (Morin,1 99 9) [ 8 9 ]",Format_8 9_Pattern_1 | Format_8 9_Pattern_2 | Format_8 9_Pattern_5 | Format_8 9_Pattern_6,"40, 40, 40, 40"
90,"Müller M, Salathé M, Kummervold PE (2 02 0) Covid-twitter-bert: A natural language processing model to",4,have one vector representation for “ bank ” in both the sentences whereas BERT will have different vector representation for “ bank ” . Muller et al. [ 9 0 ] used the BERT model to analyze the tweets on covid-1 9 content. The use of the BERT model in the legal domain was explored by Chalkidis et al....,"or various NLP tasks such as question answering, sentiment analysis, text classification, sentence embedding, interpreting ambiguity in the text etc. [ 2 5 , 3 3 , 9 0 , 1 48 ]. Earlier language-based models examine the text in either of one direction which is used for sentence generation by predict...",have one vector representation for “ bank ” in both the sentences whereas BERT will have different vector representation for “ bank ” . Muller et al. [ 9 0 ] used the BERT model to analyze the tweets on covid-1 9 content. The use of the BERT model in the legal domain was explored by Chalkidis et al....,"[ 9 0 ] | [ 2 5 , 3 3 , 9 0 , 1 48 ] | [ 9 0 ] | Earlier language-based models examine the text in either of one direction which is used for
sentence generation by predicting the next word whereas the BERT model examines the text in
both directions simultaneously for better language understanding. BERT provides contextual
embedding for each word present in the text unlike context-free models (word 2 vec and
Glo Ve). For example, in the sentences “ he is going to the riverbank for a walk ” and “ he is
going to the bank to withdraw some money ” , word 2 vec will have one vector representation for
“ bank ” in both the sentences whereas BERT will have different vector representation for
“ bank ” . Muller et al. [ 9 0 ]",Format_9 0_Pattern_1 | Format_9 0_Pattern_2 | Format_9 0_Pattern_2 | Format_9 0_Pattern_6,"63, 63, 63, 63"
93,Newatia R (2 01 9) https://medium.com/saarthi-ai/sentence-classification-using-convolutional-neural-,4,"Text Classification [ 1 18 ], Text Summarization [ 1 58 ], Machine Translation [ 7 0 ] and Answer Relations [ 1 50 ] . An article by Newatia (2 01 9) [ 9 3 ] illustrates the general architecture behind any CNN model, and how it can be used in the context of NLP. One can also refer to the work of Wan...","Text Classification [ 1 18 ], Text Summarization [ 1 58 ], Machine Translation [ 7 0 ] and Answer Relations [ 1 50 ] . An article by Newatia (2 01 9) [ 9 3 ] illustrates the general architecture behind any CNN model, and how it can be used in the context of NLP. One can also refer to the work of Wan...","1 35 ], Text Classification [ 1 18 ], Text Summarization [ 1 58 ], Machine Translation [ 7 0 ] and Answer Relations [ 1 50 ] . An article by Newatia (2 01 9) [ 9 3 ] illustrates the general architecture behind any CNN model, and how it can be used in the context of NLP. One can also refer to the wor...",[ 9 3 ] | [ 9 3 ] | (2 01 9) [ 9 3 ] | An article by Newatia (2 01 9) [ 9 3 ],Format_9 3_Pattern_1 | Format_9 3_Pattern_2 | Format_9 3_Pattern_5 | Format_9 3_Pattern_6,"29, 29, 29, 29"
94,"Nhàn NT, Sager N, Lyman M, Tick LJ, Borst F, Su Y (1 98 9) A medical language processor for two indo-",1,"vironment with NLP features [ 8 1 , 1 19 ]. In the first phase, patient records were archived. At later stage the LSP-MLP has been adapted for French [ 1 0 , 7 2 , 9 4 , 1 13 ], and finally, a proper NLP system called RECIT [ 9 , 1 1 , 1 7 , 1 06 ] has been developed using a method called Proximity ...",,,"[ 1 0 , 7 2 , 9 4 , 1 13 ]",Format_9 4_Pattern_2,44
95,"Nießen S, Och FJ, Leusch G, Ney H (2 00 0) An evaluation tool for machine translation: fast evaluation for",4,"llmann et al., 1 99 7) [ 1 38 ], generation string accuracy (Bangalore et al., 2 00 0) [ 8 ], multi-reference word error rate (Nießen et al., 2 00 0) [ 9 5 ], BLEU score (Papineni et al., 2 00 2) [ 1 01 ], NIST score (Doddington, 2 00 2) [ 3 5 ] All these criteria try to approximate human assessment...","llmann et al., 1 99 7) [ 1 38 ], generation string accuracy (Bangalore et al., 2 00 0) [ 8 ], multi-reference word error rate (Nießen et al., 2 00 0) [ 9 5 ], BLEU score (Papineni et al., 2 00 2) [ 1 01 ], NIST score (Doddington, 2 00 2) [ 3 5 ] All these criteria try to approximate human assessment...","dent word error rate (Tillmann et al., 1 99 7) [ 1 38 ], generation string accuracy (Bangalore et al., 2 00 0) [ 8 ], multi-reference word error rate (Nießen et al., 2 00 0) [ 9 5 ], BLEU score (Papineni et al., 2 00 2) [ 1 01 ], NIST score (Doddington, 2 00 2) [ 3 5 ] All these criteria try to appr...","[ 9 5 ] | [ 9 5 ] | (Nießen et al., 2 00 0) [ 9 5 ] | Nießen et al., 2 00 0) [ 9 5 ]",Format_9 5_Pattern_1 | Format_9 5_Pattern_2 | Format_9 5_Pattern_5 | Format_9 5_Pattern_6,"36, 36, 36, 36"
96,"Ochoa, A. (2 01 6). Meet the Pilot: Smart Earpiece Language Translator. https://www.indiegogo.com/",3,"served settings. Link: https://www.ncbi.nlm.nih.gov/pubmed/2 82 69 89 5?dopt=Abstract e) Meet the Pilot, world ’ s first language translating earbuds [ 9 6 ] The world ’ s first smart earpiece Pilot will soon be transcribed over 1 5 languages. According to Spring wise, Waverly Labs ’ Pilot can alrea...","served settings. Link: https://www.ncbi.nlm.nih.gov/pubmed/2 82 69 89 5?dopt=Abstract e) Meet the Pilot, world ’ s first language translating earbuds [ 9 6 ] The world ’ s first smart earpiece Pilot will soon be transcribed over 1 5 languages. According to Spring wise, Waverly Labs ’ Pilot can alrea...",ure-bi d) Using Natural Language Processing and Network Analysis to Develop a Conceptual Framework for Medication Therapy Management Research [ 9 7 ] Natural Language Processing and Network Analysis to Develop a Conceptual Framework for Medication Therapy Management Research describes a theory deriv...,"[ 9 6 ] | [ 9 6 ] | Natural Language Processing and Network Analysis to Develop a Conceptual Framework for
Medication Therapy Management Research describes a theory derivation process that is used
to develop a conceptual framework for medication therapy management (MTM) research. The
MTM service model and chronic care model are selected as parent theories. Review article
abstracts target medication therapy management in chronic disease care that were retrieved
from Ovid Medline (2 00 0 – 2 01 6). Unique concepts in each abstract are extracted using Meta
Map and their pair-wise co-occurrence are determined. Then the information is used to
construct a network graph of concept co-occurrence that is further analyzed to identify content
for the new conceptual model. 1 42 abstracts are analyzed. Medication adherence is the most
studied drug therapy problem and co-occurred with concepts related to patient-centered
interventions targeting self-management. The enhanced model consists of 6 5 concepts clus-
tered into 1 4 constructs. The framework requires additional refinement and evaluation to
determine its relevance and applicability across a broad audience including underserved
settings.
Link: https://www.ncbi.nlm.nih.gov/pubmed/2 82 69 89 5?dopt=Abstract
e)
Meet the Pilot, world ’ s first language translating earbuds [ 9 6 ]",Format_9 6_Pattern_1 | Format_9 6_Pattern_2 | Format_9 6_Pattern_6,"47, 47, 47"
97,"Ogallo, W., & Kanter, A. S. (2 01 7). Using natural language processing and network analysis to develop a",3,sing-future-bi d) Using Natural Language Processing and Network Analysis to Develop a Conceptual Framework for Medication Therapy Management Research [ 9 7 ] Natural Language Processing and Network Analysis to Develop a Conceptual Framework for Medication Therapy Management Research describes a theo...,sing-future-bi d) Using Natural Language Processing and Network Analysis to Develop a Conceptual Framework for Medication Therapy Management Research [ 9 7 ] Natural Language Processing and Network Analysis to Develop a Conceptual Framework for Medication Therapy Management Research describes a theo...,correct. Link: https://www.macobserver.com/analysis/capital-one-natural-language-chatbot-eno/ c) Future of BI in Natural Language Processing [ 1 40 ] Several companies in BI spaces are trying to get with the trend and trying hard to ensure that data becomes more friendly and easily accessible. But s...,"[ 9 7 ] | [ 9 7 ] | Several companies in BI spaces are trying to get with the trend and trying hard to ensure that
data becomes more friendly and easily accessible. But still there is a long way for this.BI will
also make it easier to access as GUI is not needed. Because nowadays the queries are made by
text or voice command on smartphones.one of the most common examples is Google might
tell you today what tomorrow ’ s weather will be. But soon enough, we will be able to ask our
personal data chatbot about customer sentiment today, and how we feel about their brand next
week; all while walking down the street. Today, NLP tends to be based on turning natural
language into machine language. But with time the technology matures – especially the AI
component – the computer will get better at “ understanding ” the query and start to deliver
answers rather than search results. Initially, the data chatbot will probably ask the question
‘ how have revenues changed over the last three-quarters? ’ and then return pages of data for
you to analyze. But once it learns the semantic relations and inferences of the question, it will
be able to automatically perform the filtering and formulation necessary to provide an
intelligible answer, rather than simply showing you data.
Link: http://www.smartdatacollective.com/eran-levy/4 89 41 0/here-s-why-natural-language-
processing-future-bi
d)
Using Natural Language Processing and Network Analysis to Develop a Conceptual
Framework for Medication Therapy Management Research [ 9 7 ]",Format_9 7_Pattern_1 | Format_9 7_Pattern_2 | Format_9 7_Pattern_6,"47, 47, 47"
98,"Otter DW, Medina JR, Kalita JK (2 02 0) A survey of the usages of deep learning for natural language",4,"del which compresses memories for long-range sequence learning, may be helpful for the readers. One may also refer to the recent work by Otter et al. [ 9 8 ] on uses of Deep Learning for NLP, and Fig. 3 A walkthrough of recent developments in NLP 3 72 2 Multimedia Tools and Applications (2 02 3) 8 2...","del which compresses memories for long-range sequence learning, may be helpful for the readers. One may also refer to the recent work by Otter et al. [ 9 8 ] on uses of Deep Learning for NLP, and Fig. 3 A walkthrough of recent developments in NLP 3 72 2 Multimedia Tools and Applications (2 02 3) 8 2...","Transformer-XL (XL as extra- long) which enables learning dependencies beyond a fixed length of words. Further the work of Rae et al. [ 1 04 ] on the Compressive Transformer, an attentive sequence model which compresses memories for long-range sequence learning, may be helpful for the readers. One m...","[ 9 8 ] | [ 9 8 ] | Compressive Transformer, an attentive sequence model which
compresses memories for long-range sequence learning, may be helpful for the readers. One
may also refer to the recent work by Otter et al. [ 9 8 ] | [ 1 5 , 3 2 , 6 3 , 9 8 , 1 33 , 1 51 ]",Format_9 8_Pattern_1 | Format_9 8_Pattern_2 | Format_9 8_Pattern_6 | Format_9 8_Pattern_2,"31, 31, 31, 73"
99,"Ouyang Y, Li W, Li S, Lu Q (2 01 1) Applying regression models to query-focused multi-document",3,also be of two types: generic or query-focused (Gong and Liu 2 00 1 [ 5 0 ]; Dunlavy et al. 2 00 7 [ 3 7 ]; Wan 2 00 8 [ 1 44 ]; Ouyang et al. 2 01 1 [ 9 9 ]).Summarization task can be either supervised or unsupervised (Mani and Maybury 1 99 9 [ 7 4 ]; Fattah and Ren 2 00 9 [ 4 3 ]; Riedhammer et al...,also be of two types: generic or query-focused (Gong and Liu 2 00 1 [ 5 0 ]; Dunlavy et al. 2 00 7 [ 3 7 ]; Wan 2 00 8 [ 1 44 ]; Ouyang et al. 2 01 1 [ 9 9 ]).Summarization task can be either supervised or unsupervised (Mani and Maybury 1 99 9 [ 7 4 ]; Fattah and Ren 2 00 9 [ 4 3 ]; Riedhammer et al...,4 3 ]).Summaries can also be of two types: generic or query-focused (Gong and Liu 2 00 1 [ 5 0 ]; Dunlavy et al. 2 00 7 [ 3 7 ]; Wan 2 00 8 [ 1 44 ]; Ouyang et al. 2 01 1 [ 9 9 ]).Summarization task can be either supervised or unsupervised (Mani and Maybury 1 99 9 [ 7 4 ]; Fattah and Ren 2 00 9 [ 4 ...,[ 9 9 ] | [ 9 9 ] | Ouyang et al. 2 01 1 [ 9 9 ],Format_9 9_Pattern_1 | Format_9 9_Pattern_2 | Format_9 9_Pattern_6,"42, 42, 42"
100,"Palmer M, Gildea D, Kingsbury P (2 00 5) The proposition bank: an annotated corpus of semantic roles.",0,NOT CITED,,,,,
101,"Papineni K, Roukos S, Ward T, Zhu WJ (2 00 2) BLEU: a method for automatic evaluation of machine",0,NOT CITED,,,,,
102,"Peng Y, Chi J (2 01 9) Unsupervised cross-media retrieval using domain adaptation with scene graph. IEEE",0,NOT CITED,,,,,
103,Porter MF (1 98 0) An algorithm for suffix stripping. Program 1 4(3):1 30 – 1 37,0,NOT CITED,,,,,
104,"Rae JW, Potapenko A, Jayakumar SM, Lillicrap TP, (2 01 9) Compressive transformers for long-range",0,NOT CITED,,,,,
105,"Ranjan P, Basu HVSSA (2 00 3) Part of speech tagging and local word grouping techniques for natural",0,NOT CITED,,,,,
106,"Rassinoux AM, Baud RH, Scherrer JR (1 99 2) Conceptual graphs model extension for knowledge",0,NOT CITED,,,,,
107,"Rassinoux AM, Michel PA, Juge C, Baud R, Scherrer JR (1 99 4) Natural language processing of medical",0,NOT CITED,,,,,
108,"Rassinoux AM, Juge C, Michel PA, Baud RH, Lemaitre D, Jean FC, Scherrer JR (1 99 5) Analysis of",0,NOT CITED,,,,,
109,Rennie J (2 00 0) ifile: An application of machine learning to e-mail filtering. In Proc. KDD 2 00 0 Workshop,0,NOT CITED,,,,,
110,"Riedhammer K, Favre B, Hakkani-Tür D (2 01 0) Long story short – global unsupervised models for",0,NOT CITED,,,,,
111,"Ritter A, Clark S, Etzioni O (2 01 1) Named entity recognition in tweets: an experimental study. In",0,NOT CITED,,,,,
112,"Rospocher M, van Erp M, Vossen P, Fokkens A, Aldabe I, Rigau G, Soroa A, Ploeger T, Bogaard T(2 01 6)",0,NOT CITED,,,,,
113,"Sager N, Lyman M, Tick LJ, Borst F, Nhan NT, Revillard C, … Scherrer JR (1 98 9) Adapting a medical",0,NOT CITED,,,,,
114,"Sager N, Lyman M, Nhan NT, Tick LJ (1 99 5) Medical language processing: applications to patient data",0,NOT CITED,,,,,
115,"Sahami M, Dumais S, Heckerman D, Horvitz E (1 99 8) A Bayesian approach to filtering junk e-mail. In",0,NOT CITED,,,,,
116,"Sakkis G, Androutsopoulos I, Paliouras G, Karkaletsis V, Spyropoulos CD, Stamatopoulos P (2 00 1)",0,NOT CITED,,,,,
117,"Sakkis G, Androutsopoulos I, Paliouras G et al (2 00 3) A memory-based approach to anti-spam filtering for",0,NOT CITED,,,,,
118,"Santoro A, Faulkner R, Raposo D, Rae J, Chrzanowski M, Weber T, ..., Lillicrap T (2 01 8) Relational",0,NOT CITED,,,,,
119,"Scherrer JR, Revillard C, Borst F, Berthoud M, Lovis C (1 99 4) Medical office automation integrated into",0,NOT CITED,,,,,
120,"Seal D, Roy UK, Basak R (2 02 0) Sentence-level emotion detection from text based on semantic rules. In:",0,NOT CITED,,,,,
121,"Sentiraama Corpus by Gangula Rama Rohit Reddy, Radhika Mamidi. Language Technologies Research",0,NOT CITED,,,,,
122,"Sha F, Pereira F (2 00 3) Shallow parsing with conditional random fields. In proceedings of the 2 00 3",0,NOT CITED,,,,,
123,"Sharifirad S, Matwin S, (2 01 9) When a tweet is actually sexist. A more comprehensive classification of",0,NOT CITED,,,,,
124,"Sharma S, Srinivas PYKL, Balabantaray RC (2 01 6) Emotion Detection using Online Machine Learning",0,NOT CITED,,,,,
125,Shemtov H (1 99 7) Ambiguity management in natural language generation. Stanford University,0,NOT CITED,,,,,
126,"Small SL, Cortell GW, Tanenhaus MK (1 98 8) Lexical Ambiguity Resolutions. Morgan Kauffman, San",0,NOT CITED,,,,,
127,"Socher R, Perelygin A, Wu J, Chuang J, Manning CD, Ng AY, Potts C (2 01 3) Recursive deep models for",0,NOT CITED,,,,,
128,"Sonnhammer EL, Eddy SR, Birney E, Bateman A, Durbin R (1 99 8) Pfam: multiple sequence alignments",0,NOT CITED,,,,,
129,Srihari S (2 01 0) Machine Learning: Generative and Discriminative Models. http://www.cedar.buffalo.edu/,0,NOT CITED,,,,,
130,"Sun X, Morency LP, Okanohara D, Tsujii JI (2 00 8) Modeling latent-dynamic in shallow parsing: a latent",0,NOT CITED,,,,,
131,"Sundheim BM, Chinchor NA (1 99 3) Survey of the message understanding conferences. In proceedings of",0,NOT CITED,,,,,
132,"Sutskever I, Vinyals O, Le QV (2 01 4) Sequence to sequence learning with neural networks. In Advances",0,NOT CITED,,,,,
133,"Sworna ZT, Mousavi Z, Babar MA (2 02 2) NLP methods in host-based intrusion detection Systems: A",0,NOT CITED,,,,,
134,"Systems RAVN (2 01 7) ""RAVN Systems Launch the ACE Powered GDPR Robot - Artificial Intelligence",0,NOT CITED,,,,,
135,"Tan KL, Lee CP, Anbananthen KSM, Lim KM (2 02 2) Ro BERTa-LSTM: A hybrid model for sentiment",0,NOT CITED,,,,,
136,"Tapaswi N, Jain S (2 01 2) Treebank based deep grammar acquisition and part-of-speech tagging for",0,NOT CITED,,,,,
137,Thomas C (2 01 9) https://towardsdatascience.com/recurrent-neural-networks-and-natural-language-,0,NOT CITED,,,,,
138,"Tillmann C, Vogel S, Ney H, Zubiaga A, Sawaf H (1 99 7) Accelerated DP based search for statistical",0,NOT CITED,,,,,
139,"Umber A, Bajwa I (2 01 1) “ Minimizing ambiguity in natural language software requirements specification,",0,NOT CITED,,,,,
141,"Vaswani A, Shazeer N, Parmar N, Uszkoreit J, Jones L, Gomez AN, Kaiser Ł , Polosukhin I, (2 01 7)",0,NOT CITED,,,,,
142,"Wahlster W, Kobsa A (1 98 9) User models in dialog systems. In user models in dialog systems (pp. 4 – 3 4).",0,NOT CITED,,,,,
143,"Walton D (1 99 6) A pragmatic synthesis. In: fallacies arising from ambiguity. Applied logic series, vol 1.",0,NOT CITED,,,,,
144,Wan X (2 00 8) Using only cross-document relationships for both generic and topic-focused multi-docu-,0,NOT CITED,,,,,
145,"Wang W, Gang J, 2 01 8 Application of convolutional neural network in natural language processing. In",0,NOT CITED,,,,,
146,"Wang D, Zhu S, Li T, Gong Y (2 00 9) Multi-document summarization using sentence-based topic models.",0,NOT CITED,,,,,
147,"Wang D, Zhu S, Li T, Chi Y, Gong Y (2 01 1) Integrating document clustering and multidocument",0,NOT CITED,,,,,
148,"Wang Z, Ng P, Ma X, Nallapati R, Xiang B (2 01 9) Multi-passage bert: A globally normalized bert model",0,NOT CITED,,,,,
149,"Wen Z, Peng Y (2 02 0) Multi-level knowledge injecting for visual commonsense reasoning. IEEE",0,NOT CITED,,,,,
150,"Wiese G, Weissenborn D, Neves M (2 01 7) Neural domain adaptation for biomedical question answering.",0,NOT CITED,,,,,
151,"Wong A, Plasek JM, Montecalvo SP, Zhou L (2 01 8) Natural language processing and its implications for",0,NOT CITED,,,,,
